VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20
1,984.7058824,0.005555556,35.71428571,611.5747476,3.454545455,0.559709593,196.9112949,22.08666116,47.89968639,0.126123329,,6.666666667,1,6.666666667,0.95931523,,0,1,99.03270224
2,815.2941176,0.333333333,392.8571429,638.878239,9.090909091,1.738397581,199.8304676,,58.63254762,1.192627745,50.04170142,9.333333333,1,10,1.949249843,,1,0,82.50774527
3,872.9411765,0.138888889,714.2857143,611.5747476,8.181818182,0.746660166,197.3521912,22.08666116,,6.295771681,15.01251043,6.733333333,1,6.733333333,1.12260808,1000,0,1,0
4,942.3529412,1.051188889,,651.4200582,72.72727273,100.909504,344.5549963,,48.97619237,0.162851551,50.04170142,13.33333333,5,13.33333333,63.59714621,,0,1,400.6729776
5,983.5294118,4.444444444,,611.6062597,13.63636364,0.562581019,196.9155887,57.73845937,58.63254762,12.88536914,340.2835696,23.33333333,3,23.33333333,0.961070699,,0,0,99.68502582
6,960,0.388888889,35.71428571,615.7623567,22.72736364,1.184685043,198.6169458,,56.39152619,0.787924315,80.06672227,16.66666667,6,16.66666667,1.319857548,,0,1,140.4320138
7,958.8235294,0.138888889,,612.8597414,13.63636364,0.580683173,197.0460344,269.4675331,58.63254762,0.80940686,210.175146,6.666666667,2,6.666666667,0.99015306,,0,0,107.8554217
8,895.2941176,1.506666667,107.1428571,644.1407611,,10.45435939,204.3297562,,58.63254762,0.006929853,,2.666666667,3,2.666666667,8.758651719,,0,0,186.4475043
9,,0.138888889,71.42857143,618.9153182,18.18181818,0.633335523,197.1236691,266.6826374,58.63254762,5.199468896,10.00834028,18,1,18,0.979617613,,1,0,98.50086059
10,925.8823529,0.027777778,35.71428571,646.0139809,4.545454545,0.74108201,197.1839668,11.72992929,57.37250971,0.293825778,40.03336113,3.333333333,1,3.333333333,1.164741973,,0,0,107.7125645
11,942.3529412,0.155555556,,617.9927137,12.72727273,0.742302903,197.3148748,,58.63254762,1.360330194,,17.33333333,1,17.33333333,1.102442556,,0,0,106.9776248
12,956.4705882,0.133333333,71.42857143,617.1156267,10.90909091,0.894091043,197.4224345,,58.63254762,2.489896274,30.02502085,14.66666667,2,14.66666667,1.326197766,1000,0,1,114.4182444
13,784.7058824,1.944444444,785.7142857,680.0190473,6.636363636,2.735526976,202.6505364,35.86141401,58.63254762,1.445567389,15.01251043,13.9,1,13.9,2.707657281,,0,0,115.4991394
14,971.7647059,0.138888889,,611.5747476,7.272727273,0.57253792,196.9112949,22.08666116,47.89968639,1.284794793,,13.8,1,13.8,0.978172706,,0,1,120.6781411
15,972.9411765,0.033333333,35.71428571,617.6653379,6.818181818,0.883389433,197.549702,,58.63254762,1.970850265,100.0834028,6,2,6,1.304800518,,1,0,101.1497418
