VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20
1,878.8235294,0.833333333,821.4285714,620.8358062,5.181818182,0.833973702,197.5001866,,58.63254762,9.433609234,40.03336113,10,2,10,1.212784454,1000,1,0,48.09982788
2,891.7647059,0.138888889,357.1428571,614.0922149,3.909090909,0.595187095,197.0168434,253.8960733,58.63254762,10.14461218,,5.666666667,1,7.6,1.004907423,992.55,0,0,104.0189329
3,955.2941176,0.055555556,,611.5747476,6.363636364,0.918652115,197.6600508,22.08666116,,0.583493644,,6,1,6,1.157114762,,1,1,120.5869191
4,831.7647059,0.111111111,250,617.7406168,6.545454545,2.383924133,200.5262879,,48.53936492,,,,3,,2.350857508,,0,1,168.5920826
5,957.6470588,0.166666667,,623.4268017,,0.71123995,197.1514581,5.013667806,49.37974795,0.255711585,,13.33333333,1,13.33333333,1.171550667,,0,1,109.2048193
6,890.5882353,0.138888889,107.1428571,611.5747476,10.90909091,0.68140505,197.1503204,5.93341062,,12.40651628,150.1251043,8.066666667,1,8.666666667,1.052984119,985.59,1,1,112.9328744
7,923.5294118,0.013888889,71.42857143,648.1655576,11.36363636,1.092656211,198.4147154,107.0666193,58.63254762,0.317387279,10.00834028,5.333333333,2,5.333333333,1.351082266,,0,0,121.7056799
8,881.1764706,0.083333333,285.7142857,599.0399311,11.36363636,0.720824496,196.4190629,16.99599163,47.89968639,10.87986961,80.06672227,3.333333333,1,12.2,1.020725069,929.49,0,0,112.3562823
9,960,0.333333333,,612.0789413,11.81818182,0.564360443,196.9324486,75.06812514,58.63254762,0.801784021,,6.666666667,1,6.666666667,0.966150243,,1,0,125.5972461
10,876.4705882,,,641.2188884,6.363636364,0.633561084,197.2530871,11.75559653,58.63254762,,218.5154295,,2,,1.01704569,,0,0,113.0344234
11,897.6470588,0.388888889,571.4285714,611.5747476,6.636363636,0.559709593,196.9112949,22.08666116,47.89968639,14.52705138,210.175146,13.33333333,1,13.33333333,0.95931523,789.63,0,0,98.39931153
12,829.4117647,1.666666667,142.8571429,648.9586123,31.81818182,5.38541959,205.8452803,,58.63254762,22.12217054,210.175146,26,3,26,4.857854395,369.39,0,0,107.2444062
13,988.2352941,1.555555556,35.71428571,611.5747476,9.090909091,0.963485022,197.7727191,22.08666116,,2.515536731,,10,1,10,1.270362265,,3,1,180.4216867
14,960,3.333333333,,616.8967926,27.27272727,0.658018327,197.1344074,230.9666711,58.63254762,5.648523387,,23.33333333,1,23.33333333,1.037974462,,1,0,345.7487091
15,778.8235294,0.985344444,607.1428571,800.1712158,13.63636364,5.806641973,207.269701,,58.63254762,11.85559295,,8.666666667,2,8.666666667,5.218049304,1000,0,0,359.5043029
16,907.0588235,0.122222222,607.1428571,649.3525137,11.81818182,0.637284629,200.0262609,,58.63254762,20.63225209,160.1334445,4.333333333,1,4.333333333,1.020725069,1000,1,0,85.47504303
17,942.3529412,,,611.5747476,,1.205902086,198.1544627,4.786940508,,,,,1,,1.401825064,,1,1,179.7091222
18,937.6470588,2.222222222,178.5714286,622.045521,9.090909091,3.165721669,199.6548593,,58.63254762,2.971521075,,60,1,60,3.079456184,,0,0,200.5576592
19,942.3529412,4.166666667,1000,645.8441656,90.90909091,2.634575958,203.432924,,55.93967273,4.615282267,10.00834028,6.666666667,4,6.666666667,2.68162791,,1,1,103.6092943
20,849.4117647,0.132455556,428.5714286,622.0437703,12.36363636,0.718977045,197.1878129,61.62276855,58.63254762,3.811419289,,6.666666667,1,6.666666667,1.075397276,1000,0,0,95.20309811
21,928.2352941,0.135388889,,643.2549207,,1.359093716,198.8770591,,58.63254762,1.967385339,,3.333333333,1,3.333333333,1.770902594,,0,0,127.0585198
22,928.2352941,,,614.0729575,3.272727273,0.585255256,196.9636654,10.92141118,58.63254762,,,,1,,0.996869638,,0,0,105.3648881
23,898.8235294,0.166666667,464.2857143,611.5747476,2.272727273,2.363956626,215.6789973,79.48716852,,24.15400351,15.01251043,18.66666667,1,18.66666667,2.059094315,1000,0,1,15.78313253
24,922.3529412,0.138888889,678.5714286,829.8206086,22.72736364,1.563849276,217.5910037,11.36631003,58.63254762,8.570149519,180.1501251,13.33333333,2,13.33333333,1.907476519,931.43,0,0,117.4371773
25,936.4705882,1.4154,,670.2222829,22.72736364,6.02195593,207.2116567,,58.14849557,22.64398849,,23.33333333,2,23.33333333,6.041166969,707.37,4,1,187.8519793
26,858.8235294,0.055555556,,611.5747476,13.63636364,3.351236529,205.5053378,22.08666116,,,,,1,,3.509706684,,0,0,110.0120482
27,943.5294118,0.138888889,,611.5747476,,0.562992757,196.9180256,22.08666116,,,,,1,,0.95931523,,1,1,194.83821
28,921.1764706,6.666666667,,611.5747476,13.63636364,2.871701292,201.5991248,22.08666116,,0.440738667,210.175146,14,1,14,3.294741979,,0,1,121.8364888
29,943.5294118,1.555555556,71.42857143,622.7580448,18.18181818,1.144628298,198.0365904,,58.63254762,1.819779464,500.4170142,16.66666667,1,16.66666667,1.409270674,,1,0,99.78313253
30,940,0.833333333,35.71428571,633.7400146,9.090909091,1.59427493,198.8535786,,58.63254762,6.053919802,,5,2,5.333333333,1.753458441,766.94,0,0,109.4802065
